"BlockName","BlockId","DistrictId","DistrictName","Url"
"Alewa","498","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=498"
"Jind","499","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=499"
"Julana","500","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=500"
"Narwana","501","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=501"
"Pillukhera","502","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=502"
"Safidon","503","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=503"
"Uchana","504","77","Jind","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=77&Block_Code=504"
"Guhla","505","73","Kaithal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=73&Block_Code=505"
"Kaithal","506","73","Kaithal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=73&Block_Code=506"
"Kalayat","507","73","Kaithal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=73&Block_Code=507"
"Pundri","508","73","Kaithal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=73&Block_Code=508"
"Rajound","509","73","Kaithal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=73&Block_Code=509"
"Siwan","510","73","Kaithal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=73&Block_Code=510"
"Assandh","511","74","Karnal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=74&Block_Code=511"
"Gharaunda (Part)","512","74","Karnal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=74&Block_Code=512"
"Indri","513","74","Karnal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=74&Block_Code=513"
"Karnal","514","74","Karnal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=74&Block_Code=514"
"Nilokheri","515","74","Karnal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=74&Block_Code=515"
"Nissing At Chirao","516","74","Karnal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=74&Block_Code=516"
"Babain","517","72","Kurukshetra","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=72&Block_Code=517"
"Ismailabad","6733","72","Kurukshetra","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=72&Block_Code=6733"
"Ladwa","518","72","Kurukshetra","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=72&Block_Code=518"
"Pehowa","519","72","Kurukshetra","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=72&Block_Code=519"
"Shahbad","520","72","Kurukshetra","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=72&Block_Code=520"
"Thanesar","521","72","Kurukshetra","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=72&Block_Code=521"
"Ateli Nangal","522","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=522"
"Kanina","523","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=523"
"Mahendragarh","524","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=524"
"Nangal Chaudhry","525","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=525"
"Narnaul","526","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=526"
"Nizampur","6776","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=6776"
"Satnali","6777","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=6777"
"Sihma","6731","84","Mahendragarh","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=84&Block_Code=6731"
"Ferozepur Jhirka","476","87","Mewat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=87&Block_Code=476"
"Nagina","478","87","Mewat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=87&Block_Code=478"
"Nuh","479","87","Mewat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=87&Block_Code=479"
"Punahana","481","87","Mewat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=87&Block_Code=481"
"Taoru","483","87","Mewat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=87&Block_Code=483"
"Hassanpur","465","89","Palwal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=89&Block_Code=465"
"Hathin","466","89","Palwal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=89&Block_Code=466"
"Hodal","467","89","Palwal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=89&Block_Code=467"
"Palwal","468","89","Palwal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=89&Block_Code=468"
"Prithla","6734","89","Palwal","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=89&Block_Code=6734"
"Barwala","527","69","Panchkula","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=69&Block_Code=527"
"Morni","528","69","Panchkula","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=69&Block_Code=528"
"Pinjore","529","69","Panchkula","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=69&Block_Code=529"
"Raipur Rani","530","69","Panchkula","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=69&Block_Code=530"
"Bapoli","531","75","Panipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=75&Block_Code=531"
"Israna","532","75","Panipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=75&Block_Code=532"
"Madlauda","533","75","Panipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=75&Block_Code=533"
"Panipat","534","75","Panipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=75&Block_Code=534"
"Samalkha","535","75","Panipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=75&Block_Code=535"
"Bawal","536","85","Rewari","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=85&Block_Code=536"
"Jatusana","537","85","Rewari","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=85&Block_Code=537"
"Khol At Rewari","538","85","Rewari","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=85&Block_Code=538"
"Nahar","539","85","Rewari","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=85&Block_Code=539"
"Rewari","540","85","Rewari","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=85&Block_Code=540"
"Kalanaur","541","82","Rohtak","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=82&Block_Code=541"
"Lakhan Majra","542","82","Rohtak","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=82&Block_Code=542"
"Maham","543","82","Rohtak","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=82&Block_Code=543"
"Rohtak","544","82","Rohtak","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=82&Block_Code=544"
"Sampla","545","82","Rohtak","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=82&Block_Code=545"
"Baragudha","546","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=546"
"Dabwali","547","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=547"
"Ellenabad","548","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=548"
"Nathusari Chopta","549","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=549"
"Odhan","550","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=550"
"Rania","551","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=551"
"Sirsa","552","79","Sirsa","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=79&Block_Code=552"
"Gannaur","553","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=553"
"Gohana","554","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=554"
"Kathura","555","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=555"
"Kharkhoda","556","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=556"
"Mundlana","557","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=557"
"Murthal","6778","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=6778"
"Rai","558","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=558"
"Sonipat","559","76","Sonipat","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=76&Block_Code=559"
"Bilaspur","560","71","Yamunanagar","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=71&Block_Code=560"
"Chhachhrauli","561","71","Yamunanagar","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=71&Block_Code=561"
"Jagadhri","562","71","Yamunanagar","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=71&Block_Code=562"
"Mustafabad","563","71","Yamunanagar","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=71&Block_Code=563"
"Radaur","564","71","Yamunanagar","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=71&Block_Code=564"
"Sadaura (Part)","565","71","Yamunanagar","http://soilhealth.dac.gov.in/PublicReports/NutrientsStatusPartial?State_Code=6&District_Code=71&Block_Code=565"
